user,task_id,photo_id,photo_type,segment_num,segment_type,segment_value
conduser1,03988cfd_ae23_4bfa_a681_d96b09040b03,1009426,ДС,0,Кондиционность,Некондиционный сегмент
conduser1,03988cfd_ae23_4bfa_a681_d96b09040b03,1009426,ДС,1,Кондиционность,Кондиционный сегмент
conduser1,03988cfd_ae23_4bfa_a681_d96b09040b03,1009426,ДС,2,Кондиционность,Некондиционный сегмент
conduser1,03988cfd_ae23_4bfa_a681_d96b09040b03,1009426,ДС,3,Кондиционность,Кондиционный сегмент
conduser1,03988cfd_ae23_4bfa_a681_d96b09040b03,1009426,ДС,4,Кондиционность,Некондиционный сегмент
conduser1,03988cfd_ae23_4bfa_a681_d96b09040b03,1009426,ДС,5,Кондиционность,Кондиционный сегмент
conduser1,03988cfd_ae23_4bfa_a681_d96b09040b03,1009426,ДС,6,Кондиционность,Некондиционный сегмент
conduser1,03988cfd_ae23_4bfa_a681_d96b09040b03,1009426,ДС,7,Кондиционность,Кондиционный сегмент
conduser1,03988cfd_ae23_4bfa_a681_d96b09040b03,1009426,ДС,8,Кондиционность,Некондиционный сегмент
conduser1,03988cfd_ae23_4bfa_a681_d96b09040b03,1009426,ДС,9,Кондиционность,Кондиционный сегмент
conduser1,03988cfd_ae23_4bfa_a681_d96b09040b03,1009426,ДС,10,Кондиционность,Некондиционный сегмент
conduser1,03988cfd_ae23_4bfa_a681_d96b09040b03,1009426,ДС,11,Кондиционность,Кондиционный сегмент
conduser1,03988cfd_ae23_4bfa_a681_d96b09040b03,1009426,ДС,12,Кондиционность,Некондиционный сегмент
conduser3,168502c5_d452_4495_a8fa_9d4ecd7fa1f7,1009510,ДС,0,Кондиционность,Некондиционный сегмент
conduser3,168502c5_d452_4495_a8fa_9d4ecd7fa1f7,1009510,ДС,1,Кондиционность,Кондиционный сегмент
conduser3,168502c5_d452_4495_a8fa_9d4ecd7fa1f7,1009510,ДС,2,Кондиционность,Некондиционный сегмент
conduser3,168502c5_d452_4495_a8fa_9d4ecd7fa1f7,1009510,ДС,3,Кондиционность,Кондиционный сегмент
conduser3,168502c5_d452_4495_a8fa_9d4ecd7fa1f7,1009510,ДС,4,Кондиционность,Некондиционный сегмент
conduser3,168502c5_d452_4495_a8fa_9d4ecd7fa1f7,1009510,ДС,5,Кондиционность,Кондиционный сегмент
conduser4,0a24f8a4_858b_42e3_93ed_2bc25053978a,1007158,ДС,0,Кондиционность,Некондиционный сегмент
conduser4,0a24f8a4_858b_42e3_93ed_2bc25053978a,1007158,ДС,1,Кондиционность,Кондиционный сегмент
conduser4,0a24f8a4_858b_42e3_93ed_2bc25053978a,1007158,ДС,2,Кондиционность,Некондиционный сегмент
